seed,B,v_exact,U0,L0,width_rel,valid,ratio_total,n_lp,distinct,wasted
0,16,10.726571715990808,10.745488999550973,8.62116656191767,19.80429995602822,True,0.3585825259773986,785,785,1
0,64,10.726571715990808,10.745488999550973,10.563903582260028,1.6928560410428586,True,0.5000182548644247,3137,3137,12
0,128,10.726571715990808,10.745488999550973,10.721806110375102,0.22078712381669843,True,0.7949981538429922,6273,6273,56
0,256,10.726571715990808,10.745488999550973,10.726507744831714,0.17695546370106813,True,1.414333629945992,12544,12544,960
0,400,10.726571715990808,10.745488999550973,10.726566157804438,0.17641090040283738,True,2.39554206027035,19328,19328,3989
1,16,10.93056212923747,10.947971670165188,8.72167017177252,20.367676173192187,True,0.3637333709781942,785,785,0
1,64,10.93056212923747,10.947971670165188,10.767461984331446,1.6514217997161238,True,0.5125905956376801,3137,3137,8
1,128,10.93056212923747,10.947971670165188,10.92606621779748,0.2004055428138916,True,0.8173300228663659,6273,6273,49
1,256,10.93056212923747,10.947971670165188,10.930521224160326,0.1596482028877964,True,1.455841294297954,12544,12544,879
1,400,10.93056212923747,10.947971670165188,10.930562129235941,0.15927397624573467,True,2.5008119505631106,19176,19176,3099
