T,seed,n_states_A,n_states_B,n_nodepairs,all_lp_val,t_all_lp,gap_all_lp,fraclp_all_lp,comono_val,t_comono,gap_comono,fraclp_comono,monge_hybrid_val,t_monge_hybrid,gap_monge_hybrid,fraclp_monge_hybrid,dual_cert_val,t_dual_cert,gap_dual_cert,fraclp_dual_cert
10,0,22,21,3598,1.835149597911358,0.4016690970001946,0.0,1.0,1.84151887812836,0.05552155499935907,0.34707144443435,0.0,1.8351495979113581,0.3858976520004944,1.2099537017458812e-14,0.8654808226792663,1.8351495979113581,0.5139062269990973,1.2099537017458812e-14,0.5441912173429683
10,1,21,21,3761,1.8196384070554181,0.4265835629994399,0.0,1.0,1.8266054985362812,0.05895888700069918,0.38288329449680963,0.0,1.8196384070554183,0.4133707309993042,1.2202677414594097e-14,0.8713108215900026,1.8196384070554181,0.5399575350002124,0.0,0.5562350438713108
10,2,21,20,3655,1.6814590077406508,0.41884392899919476,0.0,1.0,1.686366282147934,0.05616365300011239,0.2918462112184904,0.0,1.6814590077406508,0.4043915679994825,0.0,0.8735978112175102,1.681459007740652,0.5541753910001717,6.602736192284254e-14,0.6259917920656635
10,3,21,21,3541,1.8401989535297654,0.40821992800010776,0.0,1.0,1.8448587678324588,0.055096942000091076,0.2532233970547192,0.0,1.8401989535297654,0.3974665139994613,0.0,0.8870375600112962,1.8401989535297654,0.490991620999921,0.0,0.5425021180457498
10,4,21,20,3544,1.7779995076917026,0.40474317299958784,0.0,1.0,1.780813303908589,0.054793965000499156,0.15825629898736043,0.0,1.7779995076917026,0.3917603860008967,0.0,0.8758465011286681,1.777999507691703,0.47977243100103806,2.4976902857898077e-14,0.48589164785553046
20,0,21,18,7781,4.027972367119298,0.87714388600034,0.0,1.0,4.04193607525687,0.11888355299925024,0.3466684193655124,0.0,4.027972367119298,0.9030765740008064,0.0,0.9434519984577818,4.0279723671192995,1.1557709089993295,4.4100521987211527e-14,0.6112324893972497
20,1,20,20,8063,4.2237755273594955,0.9022561919991858,0.0,1.0,4.23316874518375,0.12412579100055154,0.2223891341623222,0.0,4.2237755273594955,0.9323020320007345,0.0,0.9453057174748852,4.223775527359498,1.1374298499995348,6.308420610519795e-14,0.5457025920873124
20,2,21,20,7868,4.046304597312071,0.8767326679990219,0.0,1.0,4.059457705655278,0.12066370800130244,0.3250647109450132,0.0,4.046304597312072,0.931847198999094,2.1950359849086383e-14,0.949161159125572,4.046304597312074,1.2052715760000865,6.585107954725915e-14,0.6506100660904931
20,3,20,21,7977,4.117147964148791,0.9058175800000754,0.0,1.0,4.124974704118608,0.12372174200027075,0.19010101259343007,0.0,4.117147964148791,0.92007679299968,0.0,0.9447160586686725,4.117147964148793,1.0985975470011908,4.3145324260103616e-14,0.5240065187413815
20,4,20,21,7719,4.172060960866007,0.8752615700013848,0.0,1.0,4.176811410069005,0.11758823700074572,0.11386336986820722,0.0,4.172060960866007,0.885878886001592,0.0,0.9455888068402643,4.172060960866011,1.0030671259992232,8.515488417175605e-14,0.46068143541909573
35,0,20,21,14433,7.462069671157191,1.6093759209998098,0.0,1.0,7.4798598445148965,0.22212508099983097,0.2384080307701936,0.0,7.462069671157191,1.7231045349999476,0.0,0.9649414536132475,7.462069671157193,2.07952144400042,3.570772421757849e-14,0.5671724520196771
35,1,20,20,14501,7.5684310682896765,1.6404820309999195,0.0,1.0,7.581877592690914,0.2238732549994893,0.17766594264927132,0.0,7.568431068289678,1.6746284539985936,2.347060868193484e-14,0.9681401282670161,7.568431068289683,1.8801245509985165,8.214713038677193e-14,0.47293290117922904
35,2,20,20,14190,8.062902316803477,1.5879965799995261,0.0,1.0,8.077719311175048,0.2173872420007683,0.1837675044219764,0.0,8.062902316803477,1.6515816499995708,0.0,0.9704016913319239,8.062902316803479,2.0789106310003262,2.2031233538551463e-14,0.627061310782241
35,3,20,21,14360,7.517381381878748,1.577875609998955,0.0,1.0,7.532687720602451,0.21845466699960525,0.2036126404415278,0.0,7.517381381878751,1.6469588899999508,4.725998985982809e-14,0.9678272980501392,7.517381381878754,2.003357335999681,8.270498225469916e-14,0.5719359331476324
35,4,23,22,14267,7.681225823744312,1.5882507950009312,0.0,1.0,7.704658785193599,0.2180203829993843,0.3050679928827333,0.0,7.681225823744312,1.6459412479998718,0.0,0.9676175790285274,7.681225823744315,2.109710749999067,3.4688932733415114e-14,0.6358729936216444
50,0,23,22,20905,10.972430992460472,2.317457004000971,0.0,1.0,10.996704357308268,0.3234603339988098,0.2212213944610321,0.0,10.972430992460472,2.45507793699835,0.0,0.9799091126524755,10.972430992460476,3.027055267000833,3.237854657041535e-14,0.5998086582157378
50,1,22,21,20867,11.119100338182873,2.3731026429995836,0.0,1.0,11.147763267809145,0.33996033600124065,0.2577810142412647,0.0,11.119100338182873,2.695164570999623,0.0,0.9607514256960752,11.119100338182877,3.3312383810007304,3.1951449044852305e-14,0.5463650740403508
50,2,21,20,20764,11.563970618005143,2.530223562998799,0.0,1.0,11.585644343811,0.3235947080011101,0.1874246011323314,0.0,11.563970618005143,2.484434947000409,0.0,0.9787613176651897,11.56397061800515,2.8801775760002783,6.144452967164952e-14,0.5298112117125795
50,3,21,19,20828,11.205907025016344,2.453850694999346,0.0,1.0,11.233036032762369,0.3189260689996445,0.24209559909306047,0.0,11.205907025016344,2.4281285150009353,0.0,0.9788745918955253,11.205907025016355,3.1284211610000057,9.511181033902927e-14,0.6415882465911273
50,4,20,20,20462,11.283151850236504,2.248808390000704,0.0,1.0,11.315376164976701,0.31686330499906035,0.2855967478583767,0.0,11.2831518502365,2.390634400999261,-3.148689059543263e-14,0.965985729645196,11.283151850236507,2.8385026739997556,3.148689059543263e-14,0.5617241716352263
