tag,delta,seed,states,t_lp,v_lp,t_state,v_state,t_svd,v_svd,gap_state,gap_svd,r_state,r_svd
delta0.5,0.5,0,15,2.397699419001583,10.745814243212255,0.195033082003647,10.779634234985902,0.20603972399840131,10.761810688210586,0.3147271207950607,0.14886210236172054,0.08134175637614326,0.0859322575488622
delta0.5,0.5,1,15,2.4390960999953677,11.29823553319624,0.19749074400169775,11.329152224362977,0.20750301299995044,11.317430958329055,0.273641765352641,0.16989754795265435,0.08096882447644142,0.08507373407728565
delta0.18,0.18,0,41,23.617864077998092,8.952976270751616,2.452311450004345,9.14518503368626,3.4986573309943196,9.086104377635177,2.146870014193705,1.486970397972299,0.1038329055458011,0.1481360600365888
delta0.18,0.18,1,40,24.364743958998588,8.62791818615785,2.4307054329983657,8.829770060659882,3.503597606999392,8.752483220535243,2.3395200342288005,1.4437438057449252,0.09976322497329744,0.14379784219753372
