seed,R,sel,v_exact,U0,L0,width_abs,width_rel,valid,ratio,n_lp
0,16,rộng,10.726571715990808,10.745488999550973,-18.887460407740097,29.632949407291072,276.25741189158583,True,0.03276000120352566,800
0,16,rộng×mu,10.726571715990808,10.745488999550973,2.8906194027684045,7.854869596782569,73.22814599815518,True,0.03321573688043323,800
0,64,rộng,10.726571715990808,10.745488999550973,2.3170475259946377,8.428441473556337,78.57535190849005,True,0.1281111492659371,3200
0,64,rộng×mu,10.726571715990808,10.745488999550973,3.548230438482454,7.197258561068519,67.09747300098773,True,0.1263359615824951,3200
0,128,rộng,10.726571715990808,10.745488999550973,7.310487175965454,3.4350018235855195,32.023296114868984,True,0.2566703996704094,6400
0,128,rộng×mu,10.726571715990808,10.745488999550973,3.8169679769440594,6.928521022606914,64.59212883719512,True,0.2518655016928854,6400
0,256,rộng,10.726571715990808,10.745488999550973,9.777212380332845,0.9682766192181287,9.026897361574107,True,0.5233509546667021,12800
0,256,rộng×mu,10.726571715990808,10.745488999550973,3.8169879902681143,6.92850100928286,64.59194226011734,True,0.504704345338957,12800
1,16,rộng,10.93056212923747,10.947971670165188,-23.021976245543218,33.9699479157084,310.7795144848437,True,0.03374496122122263,800
1,16,rộng×mu,10.93056212923747,10.947971670165188,2.805640271472372,8.142331398692816,74.49142415936146,True,0.03326095136249198,800
1,64,rộng,10.93056212923747,10.947971670165188,2.88190406334472,8.066067606820468,73.7937126329949,True,0.13246662245520174,3200
1,64,rộng×mu,10.93056212923747,10.947971670165188,3.291807669234916,7.656164000930272,70.04364377977673,True,0.12849279847086154,3200
1,128,rộng,10.93056212923747,10.947971670165188,7.632474913780554,3.3154967563846345,30.332353608020043,True,0.26644989558197324,6400
1,128,rộng×mu,10.93056212923747,10.947971670165188,3.9622168680792527,6.9857548020859355,63.91029774580559,True,0.258733521310242,6400
1,256,rộng,10.93056212923747,10.947971670165188,10.112931277169523,0.8350403929956656,7.6395009069302,True,0.5506438306192761,12800
1,256,rộng×mu,10.93056212923747,10.947971670165188,3.979531286684927,6.968440383480261,63.75189401138684,True,0.5194274038508656,12800
