seed,t_all_lp,val_ref,r_v3_4,gap_v3_4,r_v3_2,gap_v3_2,r_v2_5,gap_v2_5
0,2.7909163930016803,10.882393632420257,0.5340476786536221,2.285250524068078e-13,0.6620254983752955,-4.89696540871731e-14,0.6679070701196886,2.122018343777501e-13
1,2.5601098330007517,10.77998570245394,0.7041571122304386,1.8126114238680961e-13,0.7291550139512682,1.6478285671528147e-14,0.7846158235498067,2.9660914208750666e-13
2,2.537680454999645,10.756365882716878,0.5704106023854986,2.477170531528404e-13,0.727754391756664,0.0,0.6442146440382364,2.1468811273246167e-13
3,2.5578600270018796,10.72808485625064,0.6088045520716648,1.986960613979785e-13,0.7186990619466943,1.655800511649821e-14,0.6935863605784249,2.6492808186397134e-13
4,2.6256344169996737,10.870395530783512,0.673472505750218,1.960948156158452e-13,0.7240046568134556,-6.536493853861507e-14,0.6930720275516515,1.960948156158452e-13
