seed,delta,T,n_nodepairs,t_all_lp,states,r_v2_5,gap_v2_5,r_v2_7,gap_v2_7,r_comono,gap_comono
0,0.18,50,151729,23.44574296800056,44,6.776524658051759,3.89368816965153e-13,6.530394568599043,3.6990037611689535e-13,0.2519435821701368,2.1286261875309753
1,0.18,50,150604,23.9898344989997,40,6.617362943317382,3.3480033859827365e-13,6.573714622773987,3.1510620103366934e-13,0.28369752906310647,2.195035195087984
2,0.18,50,150861,25.459700061997864,42,6.15926367121918,4.157418475593373e-13,5.643181485843788,3.959446167231784e-13,0.23045043754301833,2.319334559096536
