seed,v_exact,t_exact,r0_L,r0_U,r0_width,r0_valid,r0_t,r0_ratio,r0_nlp,kendall,r1_L,r1_U,r1_width,r1_valid,r1_t,r1_ratio,r1_nlp,r2_L,r2_U,r2_width,r2_valid,r2_t,r2_ratio,r2_nlp,r3_L,r3_U,r3_width,r3_valid,r3_t,r3_ratio,r3_nlp
0,10.726571715990808,2.422496848004812,-79229460091115.47,10.745488999550973,738627980951394.1,True,0.4521311729986337,0.18663849794934206,50,0.005012531328320802,-74294983806904.55,10.745418293831516,692625619573855.8,True,0.5372920180016081,0.2217926592738918,828,-59038750659355.85,10.74330286224726,550397202596926.94,True,0.9391020939947339,0.3876587475307495,4154,-14456915131392.713,10.738391673646166,134776660373710.77,True,1.9164031320033246,0.7910859135200484,12386
1,10.93056212923747,2.363126504998945,-56957380627772.09,10.947971670165188,521083727939584.56,True,0.43836984199879225,0.18550417892206236,50,0.005847953216374269,-54741628901869.734,10.947599494336309,500812568051333.4,True,0.5291566439991584,0.2239222669119843,806,-46263792040627.734,10.94390835171954,423251718380435.2,True,0.8906708219947177,0.37690357249626605,4042,-19678892146113.453,10.93937485243589,180035499670109.03,True,1.8699612950003939,0.7913081635895022,12062
2,10.998778765136432,2.429036155997892,-195123170879175.38,11.012608784155603,1774043964750717.5,True,0.45127193899679696,0.18578230623800918,50,0.004761904761904762,-179816688240135.56,11.012555712161987,1634878672258811.0,True,0.5439275890021236,0.22392733334126444,822,-139237166320448.62,11.010579948476126,1265932966683619.8,True,0.9287250999987009,0.38234305310995415,4148,-51915262030474.7,11.006107771607113,472009330663555.1,True,1.9086928049946437,0.7857819655263708,12374
