T,nb,seed,exact,comono,gap_pct,phi_max,phi_mean,frac_viol,n_nodepairs
2,2,0,0.24304074220603072,0.24304074220603072,0.0,0.0,0.0,0.0,5
2,2,1,0.06514695312756526,0.06514695312756526,0.0,0.0,0.0,0.0,5
2,2,2,0.5548267899753306,0.5548267899753306,0.0,0.0,0.0,0.0,5
2,2,3,0.16186675556324304,0.18319499936392034,13.176420152774442,0.3820754100419881,0.07641508200839761,0.2,5
2,2,4,0.23510476411275377,0.532143935155987,126.34332280088394,1.0240373854449871,0.20480747708899744,0.2,5
2,3,0,0.048729700687685715,0.04872970068768573,2.847911563577787e-14,0.0,0.0,0.0,10
2,3,1,0.10744226779674601,0.11136894449668937,3.654685237444588,0.2849238453232299,0.02849238453232299,0.1,10
2,3,2,0.055924093359529345,0.06713954302585147,20.054772447036974,0.09804979995495093,0.009804979995495093,0.1,10
2,3,3,0.1932787390292412,0.19889407060773232,2.905302262780994,0.08936639391306107,0.008936639391306107,0.1,10
2,3,4,0.2896308967948863,0.28963089679488624,-1.9166170407078588e-14,0.0,0.0,0.0,10
2,4,0,0.32374967538525795,0.369416159529176,14.105491871019028,0.18129896606320547,0.010664645062541504,0.058823529411764705,17
2,4,1,0.07603751865104996,0.08040066138775749,5.738144555624949,0.1330198077343811,0.007824694572610653,0.058823529411764705,17
2,4,2,0.2198272532493927,0.24483089676537645,11.374223689915855,0.5044502532155992,0.029673544306799953,0.058823529411764705,17
2,4,3,0.19814980427284568,0.20885547802317117,5.402818231192467,0.12137224455231163,0.007139543797194801,0.058823529411764705,17
2,4,4,0.09752271928549096,0.12422295547388262,27.378477942384468,0.3325348007844416,0.01956087063437892,0.058823529411764705,17
2,5,0,0.0766004036613225,0.0776769163122053,1.405361590054344,0.07471201406671878,0.0028735390025661067,0.038461538461538464,26
2,5,1,0.127999740309087,0.1280525325745483,0.041244041068995776,0.1306215269585424,0.005023904883020862,0.038461538461538464,26
2,5,2,0.12792818805410236,0.12792818805410236,0.0,0.12648339231580447,0.00486474585830018,0.038461538461538464,26
2,5,3,0.1518960453099935,0.15465905959834947,1.819016606204016,0.22527581241812594,0.008664454323774086,0.038461538461538464,26
2,5,4,0.08661188725706909,0.11944761564618651,37.911341536363345,0.38280261243167996,0.014723177401218462,0.038461538461538464,26
2,10,0,0.06502703678298727,0.06612294593744525,1.6853130769518594,0.08032872615294154,0.0007953339223063656,0.009900990099009901,101
2,10,1,0.06406947463234136,0.07589036333456463,18.450110243695132,0.2352472453808653,0.0023291806473353213,0.009900990099009901,101
2,10,2,0.07039779817919506,0.08145979462677418,15.713554590757516,0.08812298734669358,0.0008725048252148115,0.009900990099009901,101
2,10,3,0.07355452218494381,0.075237073719144,2.287488905127572,0.20728646953972196,0.002052341282571513,0.009900990099009901,101
2,10,4,0.04887190194383187,0.06848581364616807,40.13330957505671,0.24444888159657696,0.0024202859564017632,0.009900990099009901,101
2,15,0,0.06012802689908761,0.0674807294633897,12.228411513722337,0.18339602354935808,0.0008114868298644526,0.004424778761061947,226
2,15,1,0.06293629571288088,0.06724288660106853,6.842777827018245,0.16304388168379966,0.0007214331047956115,0.004424778761061947,226
2,15,2,0.10014733567474778,0.10988314678975741,9.721487895223687,0.1662845759152582,0.0007357724598020646,0.004424778761061947,226
2,15,3,0.0283225329975732,0.03359660660601876,18.621475730639858,0.12342017615651617,0.000546106974143945,0.004424778761061947,226
2,15,4,0.031282320579617204,0.03629680300078651,16.029764826451597,0.13178901861613532,0.0005831372505139165,0.004424778761061947,226
2,20,0,0.022402258636343063,0.025263531940228984,12.77225368358212,0.05702083632367423,0.00014219659931098572,0.0024937655860349127,401
2,20,1,0.031850063026515836,0.041721762162425464,30.994284462455333,0.1529477581735343,0.0003814158557944167,0.0024937655860349127,401
2,20,2,0.03592371830494735,0.03856499432680114,7.352457224590907,0.06134634000390297,0.00015298339153099866,0.0024937655860349127,401
2,20,3,0.051646675418909986,0.05459197551763371,5.702787400803974,0.09751634283655101,0.00024318289984183764,0.0024937655860349127,401
2,20,4,0.026656871984570583,0.03221756951821848,20.860277743264525,0.07542093944050235,0.00018808214324321507,0.0024937655860349127,401
3,2,0,0.6770595246507864,0.6770595246507863,-1.6397716658631856e-14,0.0,0.0,0.0,21
3,2,1,0.6120231225638146,0.6346040057457707,3.6895473960792367,0.2579732382664582,0.020036507892228005,0.09523809523809523,21
3,2,2,0.978140250446056,0.9832500533429066,0.5223998188930876,0.5483386616097815,0.02972763629650824,0.09523809523809523,21
3,2,3,0.7294805296367082,0.745146017022785,2.1474853336906072,0.18857885014775602,0.00897994524513124,0.047619047619047616,21
3,2,4,0.2313242368035689,0.23132423680356892,1.1998559251358437e-14,0.18240154526048097,0.008685787869546713,0.047619047619047616,21
3,3,0,0.21314776522905543,0.22379882671925466,4.997031744036002,0.303417614545189,0.011234884571723811,0.08791208791208792,91
3,3,1,0.27312283659619224,0.28020898691488555,2.594492063353189,0.1079478819342952,0.00272984610169789,0.07692307692307693,91
3,3,2,0.24427957419834326,0.25072485836002945,2.6384867350607575,0.46462211101348655,0.022697685996370447,0.07692307692307693,91
3,3,3,0.17297973151316864,0.18850911072065996,8.977571575377944,0.8506131132365946,0.01697427249489056,0.0989010989010989,91
3,3,4,0.5902832206197983,0.6773800543216799,14.755092243758815,0.7090869955400899,0.028978704838816007,0.0989010989010989,91
3,4,0,0.2475484465682588,0.24867638668564052,0.4556441912757841,0.7423847851525409,0.01869578070794552,0.06227106227106227,273
3,4,1,0.23176430367028264,0.25957672067194265,12.00030227313482,0.7547176933369331,0.013921626723019498,0.06227106227106227,273
3,4,2,0.27901314669587474,0.29387837590811006,5.327788094672997,0.9244499090233249,0.010744521205360118,0.06227106227106227,273
3,4,3,0.14645736917425045,0.15295460822292145,4.436266392946596,0.6859220598411548,0.01675611710303027,0.05860805860805861,273
3,4,4,0.2358580676348837,0.24808302242367872,5.18318279776618,1.0062788313987139,0.013049019216279304,0.047619047619047616,273
3,5,0,0.23645734463543525,0.30744308751015775,30.020527797166448,0.48954326634514417,0.007940904351530123,0.039938556067588324,651
3,5,1,0.19656710978197356,0.20748273669628303,5.553129883436127,0.7516289559813305,0.011257275100777515,0.039938556067588324,651
3,5,2,0.12926385336961715,0.14862388014860448,14.977138832175493,0.8509952118294992,0.015946289976483025,0.039938556067588324,651
3,5,3,0.19688152249470295,0.2642879349553108,34.23704348000528,0.7393367096509184,0.011801501899497876,0.039938556067588324,651
3,5,4,0.23528716479699407,0.25400832337328516,7.956727513140683,0.3326952427922546,0.005797418257505641,0.039938556067588324,651
