T,seed,t_all_lp,n_nodepairs,val_all_lp,t_v2_5,gap_v2_5,t_v2_7,gap_v2_7,t_comono,gap_comono,r_v2_5,r_v2_7,r_comono
10,0,0.6970460630000161,3653,1.7306939492777522,0.41552820300057647,2.9508544335103086e-13,0.38752744600060396,3.3357484900551316e-13,0.09202142999856733,0.38028461314481693,0.5961273222205501,0.5559567244849283,0.13201628254310246
10,1,0.5900612010009354,3614,1.7848802228548708,0.3109590490021219,1.9904493496588948e-13,0.4211183580009674,1.9904493496588948e-13,0.08051503400201909,0.41164301422699434,0.5269945701812531,0.7136858978129963,0.13645200508936947
10,2,0.6522437900021032,3756,1.7534789678447762,0.4022073720007029,2.912510504504558e-13,0.4160530020017177,3.165772287504954e-13,0.08380309299900546,0.2832936013788536,0.6166518994368746,0.637879591004425,0.1284843095228783
10,3,0.6095962869985669,3672,1.8513653563414307,0.2996208750009828,2.638583082274008e-13,0.2856886070003384,3.1183254608692816e-13,0.07476574199972674,0.17903033776899183,0.49150705375226006,0.4686521442034472,0.12264796160069542
10,4,0.5703787070015096,3586,1.6610580701771616,0.4193248989977292,1.604119270084391e-13,0.38343245499709155,1.871472481765123e-13,0.06849389600029099,0.22425949473601878,0.7351692723631413,0.6722418812104722,0.12008494559757418
50,0,3.1498389519983903,20376,10.806021335394895,2.3618673750024755,2.9589450285900286e-13,2.227590059999784,3.123330863511697e-13,0.4095460050011752,0.24959000306271875,0.7498375031218684,0.7072076045622927,0.13002125227429231
50,1,3.2138856670026144,20855,11.011923234758473,1.8955975250028132,2.742306282565236e-13,2.016604145999736,3.387554819639409e-13,0.41041255700110923,0.32265089621302595,0.5898148600820377,0.6274660504275168,0.12769980003174003
50,2,3.1351006199984113,21164,11.154797739193087,2.3182601400003477,2.388689890573598e-13,2.158263283999986,3.3441658468030376e-13,0.3981996770016849,0.28558009500623954,0.7394531853977696,0.6884191436257888,0.12701336424790305
50,3,3.071213160001207,20965,10.694565240520578,2.209248919996753,2.6575843703040075e-13,2.1355925729985756,2.8236833934480077e-13,0.3968828309989476,0.22186950475760853,0.719340796259119,0.6953579780173045,0.12922672908799063
50,4,3.0554716480000934,20503,10.847763949408062,1.7007598650016007,2.9475588940105285e-13,1.7891572689986788,3.275065437789476e-13,0.4023603519999597,0.20955079863247583,0.5566276048134186,0.5855584587635565,0.13168518590683626
