T,nb,seed,exact_val,t_exact,n_nodepairs,comono_val,t_comono,hybrid_val,t_hybrid,n_lp_hybrid,frac_lp,gap_comono_pct,gap_hybrid_pct,time_ratio
2,3,100,0.12258383129507584,0.0012490290009736782,11,0.12258383129507583,0.00015950200031511486,0.12258383129507583,0.00020351499915705062,0,0.0,-1.1321058953043119e-14,-1.1321058953043119e-14,0.16293856987980335
2,3,101,0.10178346215080329,0.0009087199996429263,11,0.1017834621508033,0.0001708879990474088,0.1017834621508033,0.00018792499940900598,0,0.0,1.3634619529106804e-14,1.3634619529106804e-14,0.2068018745959696
2,3,102,0.24559984467252047,0.0009016399999381974,11,0.24559984467252047,0.0001702939989627339,0.24559984467252047,0.00021720000040659215,0,0.0,0.0,0.0,0.24089437072609915
2,3,103,0.15309175561725452,0.0015391920005640713,11,0.17893960740710574,0.00017788100012694485,0.15309175561725452,0.00029301799986569677,1,0.09090909090909091,16.883895338213748,0.0,0.19037131154418277
2,3,104,0.20979987353023694,0.0011448189998191083,11,0.209799873530237,0.0001671070003794739,0.209799873530237,0.000232000000323751,0,0.0,2.6459096612971698e-14,2.6459096612971698e-14,0.20265212261537335
2,3,105,0.5345684241413392,0.0009569909998390358,11,0.5345684241413392,0.0001476299985370133,0.5345684241413392,0.00025409399859199766,1,0.09090909090909091,0.0,0.0,0.2655134673520815
2,3,106,0.4086637719617017,0.000887109001268982,11,0.4086637719617017,0.00015481300033570733,0.4086637719617017,0.00037551399873336777,1,0.09090909090909091,0.0,0.0,0.42330085502030373
2,3,107,0.252996288397153,0.0009460239998588804,11,0.25299628839715294,0.0001495809992775321,0.25299628839715294,0.00023638600032427348,0,0.0,-2.1941488384255087e-14,-2.1941488384255087e-14,0.24987315370385474
2,3,108,0.1851163887333591,0.0008867020005709492,11,0.1851163887333591,0.00013849900096829515,0.1851163887333591,0.0002009879990509944,0,0.0,0.0,0.0,0.22666916159158074
2,3,109,0.41584245293857014,0.0008407060013269074,11,0.4158424529385702,0.00017109100008383393,0.4158424529385702,0.00019221599904994946,0,0.0,1.3349082288012126e-14,1.3349082288012126e-14,0.22863640648047012
2,5,100,0.12876619108677698,0.0025132179998763604,27,0.1590702005614029,0.00047506299961241893,0.12876619108677698,0.0007655560002604034,1,0.037037037037037035,23.5341351785452,0.0,0.30461185631253057
2,5,101,0.18293457868998916,0.002117586998792831,27,0.21415918115107205,0.00036397700023371726,0.18293457868998914,0.0006570219993591309,1,0.037037037037037035,17.06872625431728,-1.5172405246940773e-14,0.31026918834205075
2,5,102,0.079463336449105,0.00272983000104432,27,0.0867492676754742,0.00036547000127029605,0.07946333644910501,0.0006175039998197462,1,0.037037037037037035,9.168921860002342,1.7464391036113816e-14,0.22620602732899658
2,5,103,0.15025018669789114,0.002047893000053591,27,0.15190541364649945,0.00038109999877633527,0.15025018669789114,0.0005665509997925255,1,0.037037037037037035,1.1016471825998368,0.0,0.2766506842777916
2,5,104,0.16593731752503604,0.0024241789997176966,27,0.17094198635517893,0.0003889799991156906,0.16593731752503607,0.0005711590001737932,1,0.037037037037037035,3.0159995983952204,1.6726542305013005e-14,0.2356092517261747
2,5,105,0.057262699329059,0.0020519209992926335,27,0.061970790087630984,0.0005888239993510069,0.057262699329058996,0.0009408859987161122,1,0.037037037037037035,8.221915511731341,-1.2117650731120809e-14,0.4585390953357695
2,5,106,0.197082246706327,0.0022602520002692472,27,0.21186330993753535,0.000375442001313786,0.197082246706327,0.000688054999045562,1,0.037037037037037035,7.499946584855843,0.0,0.30441517094713294
2,5,107,0.0728085860262333,0.00230505100080336,27,0.08340645201774625,0.0003646019995358074,0.0728085860262333,0.000564666999707697,1,0.037037037037037035,14.555791521201208,0.0,0.2449694169503835
2,5,108,0.13667694796926816,0.0020233220002410235,27,0.1504260964143189,0.00039545899926451966,0.13667694796926816,0.0005764420002378756,1,0.037037037037037035,10.059595747003534,0.0,0.2848987952333876
2,5,109,0.07488126455681664,0.0021558799999183975,27,0.08423219046732976,0.0003608169990911847,0.07488126455681665,0.0005914149987802375,1,0.037037037037037035,12.487670935922889,1.853305748767717e-14,0.2743264925703765
2,10,100,0.05039845118117278,0.010253873999317875,102,0.06232513623055086,0.0020103549995837966,0.05039845118117278,0.0026158960008615395,1,0.00980392156862745,23.66478486909038,0.0,0.2551129457057458
2,10,101,0.10032051814587549,0.009258246000172221,102,0.10238998819282533,0.0019498130004649283,0.1003205181458755,0.0029582299994217465,1,0.00980392156862745,2.062858212056513,1.3833449093270078e-14,0.31952380606075037
2,10,102,0.050919751622410137,0.009077990000150749,102,0.05560812941670355,0.002354256001126487,0.050919751622410137,0.002619869999762159,1,0.00980392156862745,9.20738543475147,0.0,0.28859582349381896
2,10,103,0.05267091643834156,0.009041331999469548,102,0.06128936072298945,0.0022571270001208177,0.05267091643834156,0.003571489998648758,1,0.00980392156862745,16.362814371640827,0.0,0.3950181233095186
2,10,104,0.041794820245529066,0.010159879000639194,102,0.04752069320529065,0.0021407310014183167,0.04179482024552907,0.0028087110003980342,1,0.00980392156862745,13.699958334846764,1.6602281964951162e-14,0.2764512254743711
2,10,105,0.09626866819287251,0.011403744998460752,102,0.11076385552982737,0.002136933000656427,0.09626866819287251,0.0028497750008682488,1,0.00980392156862745,15.057014508514877,0.0,0.24989816952701976
2,10,106,0.06136750955120669,0.01657702200100175,102,0.08077723205997946,0.0021333160002541263,0.061367509551206685,0.0027520679996086983,1,0.00980392156862745,31.628662545897797,-1.1307113413356346e-14,0.16601703245868832
2,10,107,0.06693247058872684,0.01107230600064213,102,0.07234057628112547,0.0021673910014214925,0.06693247058872684,0.002630103999763378,1,0.00980392156862745,8.079943329194096,0.0,0.23753895526467994
2,10,108,0.06122772491802889,0.008599750999565003,102,0.06369609397846947,0.0019925570013583638,0.0612277249180289,0.0026504540001042187,1,0.00980392156862745,4.031456441906348,1.133292787409128e-14,0.3082012491103853
2,10,109,0.05664855142496117,0.008576750000429456,102,0.07117179666507248,0.001959989000170026,0.05664855142496117,0.0026270239995938027,1,0.00980392156862745,25.637452105636545,0.0,0.30629597451974955
2,20,100,0.024421898320215275,0.04639554300047166,402,0.027688023866817246,0.01383337900006154,0.024421898320215282,0.016674976999638602,1,0.0024875621890547263,13.373757861805641,2.841259026192712e-14,0.3594090277048613
2,20,101,0.025511091546373522,0.04954671099949337,402,0.03015320355792119,0.013649179998537875,0.025511091546373526,0.016373092999856453,1,0.0024875621890547263,18.19644605605892,1.3599758934841838e-14,0.330457716961755
2,20,102,0.027621508498419156,0.04772224800035474,402,0.033509495359046564,0.013763196000581956,0.027621508498419153,0.016105647999211214,1,0.0024875621890547263,21.316673783274332,-1.2560671522166065e-14,0.3374872030146504
2,20,103,0.09287873056476754,0.047986765999667114,402,0.09666577571987384,0.013034401999902911,0.09287873056476753,0.015832545001103426,1,0.0024875621890547263,4.0774083927271745,-1.4941836223888735e-14,0.3299356535344194
2,20,104,0.02588782888771321,0.04706911199900787,402,0.03262317951736121,0.013718431999222958,0.025887828887713217,0.016432205000455724,1,0.0024875621890547263,26.017441087323895,2.680369193571324e-14,0.34910803077827524
2,20,105,0.08452698611999562,0.04758920700078306,402,0.09361276997915509,0.013451183998768101,0.08452698611999562,0.016672464000293985,1,0.0024875621890547263,10.748974116102008,0.0,0.3503412864185706
2,20,106,0.020325915056548332,0.04786259699903894,402,0.027791161680251933,0.013362968000365072,0.020325915056548335,0.016329206999216694,1,0.0024875621890547263,36.72772715488913,1.706908123103601e-14,0.34116842843994816
2,20,107,0.018999054096396798,0.046736657999645104,402,0.02345441300661099,0.013561947000198415,0.01899905409639679,0.01727463800125406,1,0.0024875621890547263,23.45042488751668,-3.6522312472509884e-14,0.3696164582710479
2,20,108,0.01876434987220283,0.046735183999771834,402,0.021557813290265158,0.013414409000688465,0.018764349872202834,0.01658427799884521,1,0.0024875621890547263,14.887078087370956,1.8489566521530227e-14,0.35485637542212684
2,20,109,0.03280872657781414,0.04699794699990889,402,0.03974586570016676,0.013356010000279639,0.032808726577814154,0.016944331000559032,1,0.0024875621890547263,21.14418889711996,4.2299074835775154e-14,0.36053342927068455
2,30,100,0.03548024836595162,0.14473101300063718,902,0.04048079672949241,0.04465930599872081,0.035480248365951615,0.05012020600042888,1,0.0011086474501108647,14.09389334585248,-1.9557061248100197e-14,0.34629900642102346
2,30,101,0.03381283090142035,0.1419949999999517,902,0.03622913591815811,0.04189341899837018,0.03381283090142036,0.05051263600034872,1,0.0011086474501108647,7.146118654727184,2.052148169473663e-14,0.35573531462633123
2,30,102,0.034565399053180186,0.14216724700054328,902,0.03955329483488839,0.04339333200005058,0.034565399053180186,0.05036678800024674,1,0.0011086474501108647,14.43031447151568,0.0,0.35427842251214353
2,30,103,0.06691485975851864,0.15056907899997896,902,0.07111137475950803,0.04463715800011414,0.06691485975851864,0.054628238000077545,1,0.0011086474501108647,6.271424637417919,0.0,0.3628117961728728
