seed,sel,B,v_exact,U0,L0,width_rel,valid,ratio_total,n_lp,distinct,wasted
0,rong,4,10.726571715990808,10.745488999550973,0.1625760537089365,98.66072055496902,True,0.1791290067366588,197,197,0
0,rong,16,10.726571715990808,10.745488999550973,0.44415559062310583,96.03565502266666,True,0.2048206656554017,785,785,0
0,rong,64,10.726571715990808,10.745488999550973,3.481429928023933,67.72023032016864,True,0.3093419811976334,3137,3137,0
0,mu,4,10.726571715990808,10.745488999550973,4.75816875911108,55.81764984160037,True,0.33686402624514217,197,197,0
0,mu,16,10.726571715990808,10.745488999550973,8.62780330912863,19.74242793030852,True,0.3636106509190301,785,785,1
0,mu,64,10.726571715990808,10.745488999550973,10.56416240170188,1.6904431597541805,True,0.47276458428880536,3137,3137,12
0,lai,4,10.726571715990808,10.745488999550973,4.75816875911108,55.81764984160037,True,0.33654360350191503,197,197,0
0,lai,16,10.726571715990808,10.745488999550973,8.62780330912863,19.74242793030852,True,0.3644081907239928,785,785,1
0,lai,64,10.726571715990808,10.745488999550973,10.56413119323979,1.6907341051085438,True,0.4735255072288133,3137,3137,12
1,rong,4,10.93056212923747,10.947971670165188,0.1829927187351723,98.4851357519432,True,0.17748774818001198,197,197,0
1,rong,16,10.93056212923747,10.947971670165188,0.4951924185193969,95.62892674738394,True,0.20310473056818143,785,785,0
1,rong,64,10.93056212923747,10.947971670165188,3.772872259102956,65.64254725628439,True,0.31247933768195935,3137,3137,0
1,mu,4,10.93056212923747,10.947971670165188,4.809460343808024,56.159154980123546,True,0.33651641805567833,197,197,0
1,mu,16,10.93056212923747,10.947971670165188,8.718263462349668,20.398843000502364,True,0.36353241056325836,785,785,0
1,mu,64,10.93056212923747,10.947971670165188,10.767613168609675,1.6500386661092572,True,0.474431024175875,3137,3137,8
1,lai,4,10.93056212923747,10.947971670165188,4.809460343808024,56.159154980123546,True,0.3364325295549406,197,197,0
1,lai,16,10.93056212923747,10.947971670165188,8.718263462349668,20.398843000502364,True,0.3643476199480726,785,785,0
1,lai,64,10.93056212923747,10.947971670165188,10.767611014267032,1.650058375458297,True,0.47734776992011985,3137,3137,9
